,Query Index,No_index_exe_list,Exe_list_whatif,Exe_list_rainbow,Exe_list_lib,Exe_list_AIMEETAI,Whatif Ratio (%),Rainbow Ratio (%),Lib Ratio (%),Tree Model Ratio (%)
13,14,3.9359848499298096,1.804783582687378,1.7651517391204834,1.9489285945892334,1.932701826095581,54.1465820753969,55.15349254578656,50.4843471482369,50.89661419479176
14,15,2.041973352432251,0.38408827781677246,0.8039729595184326,19.96702766418457,7.233544111251831,81.19033838716483,60.62764685147345,-877.8299819829328,-254.2428260699757
15,16,1.7583658695220947,0.32646608352661133,0.350114107131958,0.22859978675842285,0.4311025142669678,81.43355207324734,80.08866566392605,86.99930482496491,75.48277513006228
16,17,2.33054256439209,0.5103495121002197,1.5053365230560303,0.796576738357544,0.8590736389160156,78.10168671030723,35.40832310656855,65.82011628844346,63.138470326968665
17,18,1.3345513343811035,0.5456490516662598,0.3869163990020752,1.2079670429229736,1.2913086414337158,59.11367081886709,71.00775451387884,9.485157160839616,3.2402420074340146
18,19,1.0183818340301514,0.3475341796875,0.19445061683654785,8.486169576644897,6.060248851776123,65.87388265635437,80.90592248027171,-733.299386641813,-495.0861110506314
19,20,1.4236838817596436,1.948432445526123,1.6324703693389893,2.9417531490325928,3.1172077655792236,-36.858502824229575,-14.665228022479958,-106.62965892376666,-118.95364592639905
20,21,1.0720386505126953,1.9191391468048096,1.6445167064666748,0.05414152145385742,0.0609889030456543,-79.01771973305199,-53.40087838066246,94.94966702665388,94.31094177280951
21,22,2.0791079998016357,2.050046682357788,0.3390345573425293,0.3877897262573242,0.19891023635864258,1.3977781551809887,83.69326858562056,81.3482644338667,90.43290505458974
22,23,6.249906539916992,7.317113637924194,5.3459203243255615,3.7950682640075684,3.950777292251587,-17.075568909569267,14.463995738461666,39.27799976256969,36.78661805550681
23,24,2.6639907360076904,2.8443045616149902,0.768930196762085,0.20668506622314453,0.2167665958404541,-6.768560534768289,71.13615350200433,92.24152458829917,91.86308747584818
24,25,2.9311599731445312,2.862704038619995,0.6751039028167725,0.826331377029419,0.8819897174835205,2.3354554221445993,76.96802941490346,71.80872471648364,69.90987439906505
25,26,5.08574366569519,4.857798099517822,4.0428550243377686,0.20911264419555664,0.2959918975830078,4.482049846808576,20.506118866981183,95.88825827762257,94.17996822019249
26,27,5.122091054916382,4.970801115036011,2.460728406906128,3.8230104446411133,3.918909788131714,2.9536753302180587,51.958518883723755,25.362309969643366,23.490040569072036
27,28,3.339379072189331,3.8479771614074707,2.535229444503784,1.349457025527954,1.2219915390014648,-15.230319116921864,24.080812938626288,59.58958248357122,63.406624028451056
28,29,4.291978359222412,4.345808506011963,2.700961112976074,3.963035821914673,3.8190200328826904,-1.2542035929394415,37.069554249443755,7.664123855632267,11.01958786263332
29,30,4.99214243888855,4.772992372512817,4.014935493469238,2.9112212657928467,3.0794761180877686,4.389900109190874,19.57490110472242,41.683930267803,38.3135366070728
30,31,4.1711812019348145,4.261301517486572,3.4496469497680664,0.2384040355682373,0.37070608139038086,-2.1605466458746805,17.298079782102544,94.28449582919934,91.11268335169837
31,32,2.4870269298553467,0.492656946182251,2.836897850036621,1.9125347137451172,1.9591145515441895,80.19092836236777,-14.067838027054416,23.09955751639745,21.226645034433233
32,33,2.5750112533569336,0.3956177234649658,0.1883087158203125,3.0737557411193848,2.9948806762695312,84.63627205709429,92.68707212153646,-19.368633325864458,-16.305537397758226
33,34,3.1481454372406006,1.7387373447418213,3.491382598876953,0.25136685371398926,0.21044540405273438,44.76947207795291,-10.902836875833962,92.01539894756844,93.31525787966159
34,35,3.025888442993164,0.42261433601379395,0.38112950325012207,0.06859874725341797,0.05733895301818848,86.03338014683219,87.40437691506186,97.73293865435564,98.1050539668452
35,36,2.4856457710266113,0.3609316349029541,0.19245362281799316,1.8432204723358154,1.8341033458709717,85.47936157637282,92.25739946289664,25.845408311155456,26.21219937089195
